PatientID	Caller	Chromosome	SV	Count
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr1	INS	474
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr1	INS	869
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr1	INS	798
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr1	DEL	665
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr1	DEL	578
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr1	DEL	509
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr1	DUP	4
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr1	INV	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr1	INV	2
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr2	INS	829
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr2	INS	439
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr2	INS	762
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr2	DEL	629
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr2	DEL	805
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr2	DEL	724
TARGET-20-PAURDN-03A-01D	sniffles.DUP	chr2	DUP	1
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr2	INV	2
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr2	INV	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr3	INS	562
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr3	INS	548
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr3	INS	290
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr3	DEL	545
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr3	DEL	490
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr3	DEL	397
TARGET-20-PAURDN-03A-01D	pbsv.INV	chr3	INV	3
TARGET-20-PAURDN-03A-01D	sniffles.INV	chr3	INV	2
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr4	INS	619
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr4	INS	347
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr4	INS	561
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr4	DEL	649
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr4	DEL	522
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr4	DEL	622
TARGET-20-PAURDN-03A-01D	pbsv.BND	chr4	BND	1
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr5	INS	535
TARGET-20-PAURDN-03A-01D	pbsv.INS	chr5	INS	277
TARGET-20-PAURDN-03A-01D	longreadsv.INS	chr5	INS	529
TARGET-20-PAURDN-03A-01D	sniffles.DEL	chr5	DEL	520
TARGET-20-PAURDN-03A-01D	pbsv.DEL	chr5	DEL	411
TARGET-20-PAURDN-03A-01D	longreadsv.DEL	chr5	DEL	483
TARGET-20-PAURDN-03A-01D	pbsv.DUP	chr5	DUP	2
TARGET-20-PAURDN-03A-01D	sniffles.INS	chr6	INS	663
